Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas518             Pavarde518                      1         5         3         8         2         8         9         9
Vardas519             Pavarde519                     10         4         5         7         2         1         3         8
Vardas520             Pavarde520                      9         2         2         3         7        10         8         2
Vardas521             Pavarde521                      9         3        10         6         2         8         2         1
Vardas522             Pavarde522                      5         9         3         2        10         8         1        10
Vardas523             Pavarde523                      3         2        10         7         3         3        10         3
Vardas524             Pavarde524                      3        10         8         6         5         6         5         6
Vardas525             Pavarde525                      8         5         7         2         2         8         6         4
Vardas526             Pavarde526                      6         6         9         8         2         4         8         1
Vardas527             Pavarde527                      9         8         1         5         1         8         9         8
Vardas528             Pavarde528                      8         1        10        10         4        10         8         5
Vardas529             Pavarde529                      2         6         4         9         5         7        10         8
Vardas530             Pavarde530                      9         7         5         7        10         5         1         5
Vardas531             Pavarde531                      7         6         4         2         9         2         5         6
Vardas532             Pavarde532                      8         2         3        10         5         8         2         2
Vardas533             Pavarde533                     10         9         2         1         4         6         6         3
Vardas534             Pavarde534                      2        10         9        10         1        10         5         4
Vardas535             Pavarde535                      3         6         2         7         4         2         3        10
Vardas536             Pavarde536                      8         7         4         3         6         7         7         4
Vardas537             Pavarde537                      4         6         6         9         9         1         5         7
Vardas538             Pavarde538                      9         6        10         8         6         9         7         8
Vardas539             Pavarde539                      9        10         9         4         7         2         1        10
Vardas540             Pavarde540                      3         1        10         9         5         6         6         3
Vardas541             Pavarde541                      2         7         2         5         2         3         6         4
Vardas542             Pavarde542                      9         4         1         1         1         3         3         1
Vardas543             Pavarde543                     10         4         5         5         6         6         7         8
Vardas544             Pavarde544                      2         1         2         3         9         1         7         5
Vardas545             Pavarde545                      3         9         7         1         6         2         6         5
Vardas546             Pavarde546                     10         5         1         7         9         6         2         3
Vardas547             Pavarde547                     10         8         1         3         8         1         8         5
Vardas548             Pavarde548                      9        10        10         5         5        10        10         1
Vardas549             Pavarde549                      3         6         1        10         8         1         5         5
Vardas550             Pavarde550                      3        10         8         5         4         7         4         5
Vardas551             Pavarde551                      8         3         4         2        10        10         6         7
Vardas552             Pavarde552                      7         9         3         5         5         9         6        10
Vardas553             Pavarde553                      4        10         1         5         7         1         3         5
Vardas554             Pavarde554                      2        10         2         5         6         9        10         2
Vardas555             Pavarde555                     10         8         3         6         3         7         6         1
Vardas556             Pavarde556                      2         7         7         8         7        10         9         3
Vardas557             Pavarde557                     10         4        10         3         1         5         4         1
Vardas558             Pavarde558                      9         9         8         7         1         8         1         5
Vardas559             Pavarde559                      6         6         9        10         7         8         4        10
Vardas560             Pavarde560                      6         4         1         3         8         8         1         3
Vardas561             Pavarde561                      2         2         3         4         8         6         5         1
Vardas562             Pavarde562                      6         4         2         8         6         8         3         4
Vardas563             Pavarde563                      8         8         4         2        10         4         3         3
Vardas564             Pavarde564                      5         5         1         5         5         9         7         4
Vardas565             Pavarde565                      6         2         2         1         6        10         3        10
Vardas566             Pavarde566                      5         3         4         1        10         5         6         9
Vardas567             Pavarde567                      7         7        10         6         1         3        10         8
Vardas568             Pavarde568                      4         6         1         1         8         8         9         5
Vardas569             Pavarde569                      9         8         4         3         4        10         7         8
Vardas570             Pavarde570                      6         6         5         5        10        10         7         9
Vardas571             Pavarde571                      5         1         8         3         6        10         6         2
Vardas572             Pavarde572                      8         3        10         8         1         4        10         5
Vardas573             Pavarde573                      6         3         5         4        10         4         6         7
Vardas574             Pavarde574                      6         5         8         9         7         8         2         8
Vardas575             Pavarde575                      6         2         7         9        10         5         9         5
Vardas576             Pavarde576                      9        10         5        10         5         3         9         8
Vardas577             Pavarde577                      1         2         6         5         5         1         4         2
Vardas578             Pavarde578                      1         6         6         5         7         7         3         6
Vardas579             Pavarde579                     10         2         6         2         1         8         5         5
Vardas580             Pavarde580                      6         1         7         4         3         2         7        10
Vardas581             Pavarde581                      1         9        10         6         3         3         4         6
Vardas582             Pavarde582                      4        10         6         9         3         7         4        10
Vardas583             Pavarde583                      2         8         7         7         4         8         6         5
Vardas584             Pavarde584                     10         4         8         9         4         7         7         8
Vardas585             Pavarde585                      4         6        10         4         3         5         1         4
Vardas586             Pavarde586                      2         6         4         6        10         9         7         4
Vardas587             Pavarde587                     10         9         7         7        10         6         6         6
Vardas588             Pavarde588                      5        10         8         1         4        10         6         6
Vardas589             Pavarde589                      4        10         9         5         2         3        10         1
Vardas590             Pavarde590                      5         6         9         5         3         9         5         5
Vardas591             Pavarde591                      8         4         5         1         9         5         1         5
Vardas592             Pavarde592                      3         8        10         1         1         3         8         8
Vardas593             Pavarde593                      5         5         8         1         5         7         2         7
Vardas594             Pavarde594                      4         7         3         2         8         2         6         8
Vardas595             Pavarde595                      3         7         1         8         7         8        10         4
Vardas596             Pavarde596                      7        10         1         6        10         4        10        10
Vardas597             Pavarde597                      1         7         7         3         3         2         3         4
Vardas598             Pavarde598                      8         5         9         7        10         3         3         2
Vardas599             Pavarde599                      8         3         7         2        10         4         3         9
Vardas600             Pavarde600                      1        10         4         7         7         7         2        10
Vardas601             Pavarde601                      1         7         8         6        10         4         9         9
Vardas602             Pavarde602                      7         2         5         6         3         1         2         5
Vardas603             Pavarde603                      4         5         9        10         5         9         8         6
Vardas604             Pavarde604                      1         9         5         8        10         2        10         9
Vardas605             Pavarde605                      3         9         6         6         3         1         3         7
Vardas606             Pavarde606                      5         6         3         1         6         4         4         9
Vardas607             Pavarde607                      5         1        10         3         7         2         2        10
Vardas608             Pavarde608                      5         5         8         5         2        10         4         2
Vardas609             Pavarde609                      6         5         1         6        10         9         5         8
Vardas610             Pavarde610                     10         1         8         8         2         7         8         8
Vardas611             Pavarde611                      7         5         6         8         8         2         4         3
Vardas612             Pavarde612                     10         5         8         2         5         8        10         7
Vardas613             Pavarde613                      2         8         9         9         5        10         2         6
Vardas614             Pavarde614                      2         2         1         3         4         9         8         2
Vardas615             Pavarde615                      1         5         8         7         5         2         4         9
Vardas616             Pavarde616                      9        10         9         1        10         9         9         7
Vardas617             Pavarde617                      7         8         5         6         3         7        10         6
Vardas618             Pavarde618                      3         9         8         3         8         3         4         8
Vardas619             Pavarde619                      8        10         2        10         5         2         2        10
Vardas620             Pavarde620                      4        10        10        10         7         2         2         8
Vardas621             Pavarde621                      1         6         1         3         6         9         3         5
Vardas622             Pavarde622                      3         8         8         4         6        10        10         6
Vardas623             Pavarde623                      8         8         8         1         9         6         4         6
Vardas624             Pavarde624                      5         3         1         2         8        10        10         8
Vardas625             Pavarde625                      9         5         1         6         3         4         8         3
Vardas626             Pavarde626                      4         5         4         9         8         8         7         5
Vardas627             Pavarde627                      4         7         1         1         1         4         3         2
Vardas628             Pavarde628                      2         7         3         6         2         3         5         4
Vardas629             Pavarde629                     10         8         8         5         2         8         5         9
Vardas630             Pavarde630                      7         3         4         6         5         8         4         1
Vardas631             Pavarde631                      8         8        10         2        10         2         8        10
Vardas632             Pavarde632                      8         8         4         3         3         4         6         7
Vardas633             Pavarde633                      8         7         6         5        10         7         3         5
Vardas634             Pavarde634                      4         6         9         9         5         6         3        10
Vardas635             Pavarde635                      2        10         7         6         3         9         5         8
Vardas636             Pavarde636                      9         4         2         4        10         6        10         9
Vardas637             Pavarde637                      9         3         5         8        10         5         6        10
Vardas638             Pavarde638                      8         7         4         1        10         4         2         6
Vardas639             Pavarde639                      9         9         2         6         4         6         2        10
Vardas640             Pavarde640                      5         7         1         6         3         4         6         9
Vardas641             Pavarde641                      1         2         5         7         7        10         5         9
Vardas642             Pavarde642                      2         6         7         8         9         4         7         3
Vardas643             Pavarde643                     10         7         2         4         6         7         5         4
Vardas644             Pavarde644                      5         5         1         4         4         8         6        10
Vardas645             Pavarde645                      3        10         1         4         8         3         8         4
Vardas646             Pavarde646                      6         6         3         5         5         1         1         1
Vardas647             Pavarde647                      6         9         2         1         6         3         9         7
Vardas648             Pavarde648                      3         4        10         2         3         1        10         7
Vardas649             Pavarde649                      6         3         6         4         4         2         8        10
Vardas650             Pavarde650                      7         1         5         3         5         8         8         1
Vardas651             Pavarde651                      5         8         4         3        10         3         8         1
Vardas652             Pavarde652                      7         8         1         6         2         4         4         5
Vardas653             Pavarde653                      3         7         8         8         9         4         5         9
Vardas654             Pavarde654                      7         8         1         6         7         2         8         6
Vardas655             Pavarde655                      3         3         5         3         1         8         8         5
Vardas656             Pavarde656                      2         1         8         6         7         8         1         2
Vardas657             Pavarde657                      1        10         5         4         7         6         6         3
Vardas658             Pavarde658                      4         1         6         3         8         4         3         1
Vardas659             Pavarde659                      5         9         8         2         9         7         5         9
Vardas660             Pavarde660                     10        10         8         4         4         9         4         8
Vardas661             Pavarde661                      4         6         9         2         4         2         5         2
Vardas662             Pavarde662                      3         1         2         8         3         6         6         4
Vardas663             Pavarde663                      8         9         2        10         6         2         4         1
Vardas664             Pavarde664                      5        10         2         2         2         3         6         6
Vardas665             Pavarde665                      1         9         1         5        10         5         8         8
Vardas666             Pavarde666                      8         3         7         8         5         6         9         7
Vardas667             Pavarde667                      6         5         4         8         6         1         7         7
Vardas668             Pavarde668                      4        10         2         7         9         9        10         5
Vardas669             Pavarde669                      2         5         2         8         7         7         3         4
Vardas670             Pavarde670                      4         2         2         2         8         3         1         8
Vardas671             Pavarde671                      3         5         3         2        10         2         8         7
Vardas672             Pavarde672                      5         9         9         9        10         2         9        10
Vardas673             Pavarde673                      8         7         1         1        10         4         7        10
Vardas674             Pavarde674                      4         3         9         7         1         9         7        10
Vardas675             Pavarde675                      2         7         1         7         1         5         9         1
Vardas676             Pavarde676                      7        10         9         2         9         9         9         8
Vardas677             Pavarde677                      9         1        10         8         9         1        10         6
Vardas678             Pavarde678                      7         8         7         1         5         1         6         4
Vardas679             Pavarde679                      1         1         7         1         2         3         5         7
Vardas680             Pavarde680                      3         1         9         8         7         9        10        10
Vardas681             Pavarde681                      1         3         3         5         8        10         1         2
Vardas682             Pavarde682                      9         8         2         6         6         1         2         3
Vardas683             Pavarde683                      6         6         3         1        10         6         2         7
Vardas684             Pavarde684                      7         7         9         5         1         2         4         7
Vardas685             Pavarde685                      1         7         2        10        10         8         2        10
Vardas686             Pavarde686                      5         5         8        10         5         4         8         8
Vardas687             Pavarde687                      5         2         6         7         6         1         3        10
Vardas688             Pavarde688                      2         8         8        10         1         7         8         8
Vardas689             Pavarde689                      5         5         7         3         9         9         7         4
Vardas690             Pavarde690                     10         9         2         3         5        10         9         8
Vardas691             Pavarde691                      2         1         2         3         6         9         5         1
Vardas692             Pavarde692                      2         6         6         8         1         6         2         6
Vardas693             Pavarde693                      5         6         5         1         8         4         5         5
Vardas694             Pavarde694                      7         4         9         8         2         5         8         4
Vardas695             Pavarde695                     10         3         8         8         8         1         2         7
Vardas696             Pavarde696                      3         3         2         3         7         3         6         4
Vardas697             Pavarde697                      9         9         1         3        10         2         3         4
Vardas698             Pavarde698                      3        10         2        10         6         8         5         7
Vardas699             Pavarde699                      5         4        10         6         7         1        10         5
Vardas700             Pavarde700                      3         1         7         9         6         3         4        10
Vardas701             Pavarde701                      9         1         3         2         1         8         1         3
Vardas702             Pavarde702                      5         4         5         3         3         5         7         7
Vardas703             Pavarde703                      7         1         6         2         6         3         2         8
Vardas704             Pavarde704                     10         3         5         6         4        10         2         9
Vardas705             Pavarde705                     10         3         9         6         6         4         6         9
Vardas706             Pavarde706                      3         3         3         5         2         5         6         9
Vardas707             Pavarde707                     10        10         7         3         8         5         6         2
Vardas708             Pavarde708                      8         5        10         9         7         8         2         5
Vardas709             Pavarde709                      1         4         2         9        10         4         9        10
Vardas710             Pavarde710                      4         5         1         7         9         2         6         2
Vardas711             Pavarde711                      3         8         4         5         4         6         3         8
Vardas712             Pavarde712                      2         6        10         8         2        10         4         9
Vardas713             Pavarde713                      2         1         3        10         1         6         9         3
Vardas714             Pavarde714                      5         1         3         2        10         4         2         7
Vardas715             Pavarde715                      9         6         9         4         1         9         1         6
Vardas716             Pavarde716                     10         1         6         8         8         9         5         8
Vardas717             Pavarde717                      5        10         1         5         7         1         1         4
Vardas718             Pavarde718                      6         2         4         5         9         1        10         1
Vardas719             Pavarde719                      8         6         1         9         3         8         6         1
Vardas720             Pavarde720                      3         7         4         4         9         3         1         2
Vardas721             Pavarde721                      5         7         9         9         4        10         1         7
Vardas722             Pavarde722                      4         4         9        10         3         1         7         6
Vardas723             Pavarde723                      5         6         9         3         2        10         8         2
Vardas724             Pavarde724                      8         9         6         1         5         2         6         2
Vardas725             Pavarde725                      4         4         6         2         7         6         7         8
Vardas726             Pavarde726                      8         1         7         6         1        10         1         4
Vardas727             Pavarde727                      5         2         9         9        10         2         4         5
Vardas728             Pavarde728                      3         2         3         4         4         1         3         5
Vardas729             Pavarde729                      3         2         2         4         9         7         4         5
Vardas730             Pavarde730                      8         9         9         5         6        10         1        10
Vardas731             Pavarde731                      8        10         1         3         8         6         7         4
Vardas732             Pavarde732                      8         6         5         7        10         1         9         6
Vardas733             Pavarde733                      2         9         8         4         9         7         1         8
Vardas734             Pavarde734                      3         4         2         2         9         2        10         8
Vardas735             Pavarde735                      8         6         1         7         9         9         1         8
Vardas736             Pavarde736                      4         6         7         1         1         7         2         6
Vardas737             Pavarde737                     10         6         6         6         5         5         4         7
Vardas738             Pavarde738                      4         6         9         1         6        10         8         6
Vardas739             Pavarde739                     10         5         1        10         5         5         1         8
Vardas740             Pavarde740                      5         5         3         1         1         2         4         7
Vardas741             Pavarde741                      1         7         2         4         7         5        10         3
Vardas742             Pavarde742                      3         2         9         7         4         4         9         7
Vardas743             Pavarde743                      2         1        10         7         2         2         4         7
Vardas744             Pavarde744                      6         2         6         5         9         9         6         8
Vardas745             Pavarde745                      8         3         1         6         7         8         5         6
Vardas746             Pavarde746                      3         7         8         7         4         9         9         5
Vardas747             Pavarde747                      3         4         1         5         5         9         2        10
Vardas748             Pavarde748                      4         4         8         6         1         8         6         6
Vardas749             Pavarde749                      3         6         6         3         2         1        10         8
Vardas750             Pavarde750                     10         9         7         2         7         6         4         2
Vardas751             Pavarde751                      9         7         4         8        10        10        10         3
Vardas752             Pavarde752                      7         1         7         6         7         1         3         2
Vardas753             Pavarde753                      4         1         4         9         4         8         5         5
Vardas754             Pavarde754                      5         6         5         7         5         8         2         4
Vardas755             Pavarde755                      7         1         9         8         6         4         5        10
Vardas756             Pavarde756                      7         6         5         1         3         6         9         8
Vardas757             Pavarde757                      3         7        10         7         2         3         1         8
Vardas758             Pavarde758                      8         5         3         9         4         7        10         7
Vardas759             Pavarde759                      2         5         4         8         6         1         3         3
Vardas760             Pavarde760                      5         3         4         3         9         1         7         7
Vardas761             Pavarde761                      7         2         6         3         4         6         7         8
Vardas762             Pavarde762                      8         1         1         7         4         7         9         7
Vardas763             Pavarde763                     10         6         1         2         5         4         3         7
Vardas764             Pavarde764                      2         7         9         2        10        10         7         6
Vardas765             Pavarde765                      3        10         4         9        10         6         2         4
Vardas766             Pavarde766                      7         1         5         9         6         5         7         3
Vardas767             Pavarde767                      3         7         9         9         7         5         9         9
Vardas768             Pavarde768                      9        10         9         8         7        10         1         9
Vardas769             Pavarde769                     10         1         5         3         2         7         5         6
Vardas770             Pavarde770                      6         4         1         5         9         1         2         5
Vardas771             Pavarde771                      3         7         5         7        10        10         1         7
Vardas772             Pavarde772                     10         5         3         6         9         5        10         3
Vardas773             Pavarde773                      2        10         6         2         6         5         8         3
Vardas774             Pavarde774                      9         3         5         8         7         1         2         9
Vardas775             Pavarde775                      9         6        10         2         5         3         2         2
Vardas776             Pavarde776                      6         7         3         3         8         3         5         5
Vardas777             Pavarde777                     10         1        10         1         6         5         5        10
Vardas778             Pavarde778                      6         4        10         9         7         7         5         7
Vardas779             Pavarde779                      1        10         2         6         9         3         3         2
Vardas780             Pavarde780                      2         4         9         3         7         8         8         3
Vardas781             Pavarde781                      6         1         8         5         2        10         9         7
Vardas782             Pavarde782                      8         7         3         2         3         6         4         7
Vardas783             Pavarde783                     10         1         7         4         5         9         8         4
Vardas784             Pavarde784                      3         1         4         4         6         5         7         7
Vardas785             Pavarde785                      5         5         6        10         3         2         8         7
Vardas786             Pavarde786                      8         9         8         1         8         2         7         6
Vardas787             Pavarde787                      9         4         8         7         6         9         3         1
Vardas788             Pavarde788                      5         7         3         8         4         7         4         9
Vardas789             Pavarde789                      4         9         6         4        10         2         4         5
Vardas790             Pavarde790                      7         9         9         1        10         1         4         3
Vardas791             Pavarde791                      3         8         6         3         8         6         7         3
Vardas792             Pavarde792                      4         7         4        10         3         7         4         3
Vardas793             Pavarde793                      6         5         5         5         4        10         9        10
Vardas794             Pavarde794                      3         3         6         2         7        10         1         1
Vardas795             Pavarde795                      2         7         1         7         1         5         2         3
Vardas796             Pavarde796                      7         1         2         5         7         9         8         5
Vardas797             Pavarde797                      6         5         6         5         4         6         6         6
Vardas798             Pavarde798                      6         2        10         1         8         9         1         5
Vardas799             Pavarde799                      6         7         3         2         5         1         1         9
Vardas800             Pavarde800                     10         5         4         1         2         4         4         6
Vardas801             Pavarde801                      4         4         7         1         1        10         4        10
Vardas802             Pavarde802                      1         2         2         9         8         6         1         7
Vardas803             Pavarde803                      2         9         2         1         2         6         8        10
Vardas804             Pavarde804                     10         3         2        10         4        10         4         5
Vardas805             Pavarde805                      7         4         7        10         5         7         5         1
Vardas806             Pavarde806                      1         2         2         6         3        10         5         1
Vardas807             Pavarde807                      9         1        10         5         3         5         6         9
Vardas808             Pavarde808                      3         9         2         8         9        10         5         3
Vardas809             Pavarde809                      1         9        10         3         2         6         5         1
Vardas810             Pavarde810                      2         1         9         8         7         5         6        10
Vardas811             Pavarde811                      8         6         1         1         8         3         6         2
Vardas812             Pavarde812                     10         9        10         9         1         5         2         8
Vardas813             Pavarde813                      4        10         9         4         3         5         3         6
Vardas814             Pavarde814                      1        10         8         2        10         3         8         4
Vardas815             Pavarde815                      2         3        10         2         9         7         4         2
Vardas816             Pavarde816                      7         3         6         8         1         5         5         3
Vardas817             Pavarde817                     10        10         1         6         9         5         2        10
Vardas818             Pavarde818                      5         5         3         3         9         3         1         8
Vardas819             Pavarde819                      2         3         4         1        10         7         9         2
Vardas820             Pavarde820                      7         5         2         6         1         4         6         4
Vardas821             Pavarde821                      6         8         9         6         3         6         4         7
Vardas822             Pavarde822                      1         4        10         1         3         5         3        10
Vardas823             Pavarde823                      7         8        10         7         2         3         2        10
Vardas824             Pavarde824                      6         4         3         6         5        10        10        10
Vardas825             Pavarde825                      2         7         3         2         5         8         9         1
Vardas826             Pavarde826                      5         2        10         6         3         6         7         5
Vardas827             Pavarde827                      3         1         1        10         4         1         6         2
Vardas828             Pavarde828                      7         1         1         6         4         5         4         7
Vardas829             Pavarde829                      9         8         6         6         8         7         6         3
Vardas830             Pavarde830                      6         2         2         6         4        10         6         4
Vardas831             Pavarde831                      2         4         4        10         1         8         6         1
Vardas832             Pavarde832                      4         3         4        10         3         6        10         1
Vardas833             Pavarde833                      6         6         9         4        10         6         4        10
Vardas834             Pavarde834                     10         9         2         2         7         1         4         6
Vardas835             Pavarde835                      3        10         7         1         3         9         6         6
Vardas836             Pavarde836                      6         1         1         4         3         2         6         5
Vardas837             Pavarde837                      8         2         1        10         4         7         7         2
Vardas838             Pavarde838                      4         9         3         6         5         8         5        10
Vardas839             Pavarde839                      9         3         4         2         4         9         8         3
Vardas840             Pavarde840                      6         5         8         1         4         9         4         6
Vardas841             Pavarde841                      1         4         7        10         5         9        10         8
Vardas842             Pavarde842                      5         1         4         7         4         5        10         2
Vardas843             Pavarde843                      6         3         1         3         4         7         4         9
Vardas844             Pavarde844                      8         9         9         2         6         2        10         6
Vardas845             Pavarde845                      4         7         5         2         5         3         8         2
Vardas846             Pavarde846                      6         5         4         1        10         9         3        10
Vardas847             Pavarde847                      4         3         4         4         8         2         4         3
Vardas848             Pavarde848                      3         5         9         7         2         4         4         8
Vardas849             Pavarde849                      1         2         7         6         8         7         4         5
Vardas850             Pavarde850                      4         5         5         8         3         4         3         5
Vardas851             Pavarde851                      1         2         3         9         7        10        10         9
Vardas852             Pavarde852                      3         9         1         5         9         8         1         3
Vardas853             Pavarde853                      6         1         4         1         3         5         1         4
Vardas854             Pavarde854                      1         7         2         4         9         9         7         8
Vardas855             Pavarde855                      8        10         1         3         4        10         7         3
Vardas856             Pavarde856                      6         4         5         2         8         6         3         7
Vardas857             Pavarde857                      2         6         5         2         2         3         6        10
Vardas858             Pavarde858                      9         8         8         3         3        10        10         5
Vardas859             Pavarde859                      3        10         4         3         2         5         5         5
Vardas860             Pavarde860                      4         7         4         3         2         2         3         6
Vardas861             Pavarde861                      9         1         9         3         2         6         5         9
Vardas862             Pavarde862                      5         5         7         7         3         5         3         1
Vardas863             Pavarde863                      8         8         9         1         3         6         6         6
Vardas864             Pavarde864                      1         2         4         8         8         9        10         2
Vardas865             Pavarde865                      1        10         9         1         1         1         1         9
Vardas866             Pavarde866                      6        10        10         2         7         1         8         3
Vardas867             Pavarde867                      8         7        10         4         3         3         5         3
Vardas868             Pavarde868                      3         5         1         9         2         8         5         4
Vardas869             Pavarde869                      3         2         9         8        10        10         3         2
Vardas870             Pavarde870                      3         9         2         3         3         4         2        10
Vardas871             Pavarde871                      5        10        10         3        10         8         6         1
Vardas872             Pavarde872                      5         2         9         5        10         2         5         9
