Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1488           Pavarde1488                      6         7         7         5         2         1         6         5
Vardas1489           Pavarde1489                      7         2         2         9         5         2         9         1
Vardas1490           Pavarde1490                      1         6         1        10         7         3         6         9
Vardas1491           Pavarde1491                      6         6         2         1         8         2         3         6
Vardas1492           Pavarde1492                      1         1         6         1        10         6         4         2
Vardas1493           Pavarde1493                      8         3         1         7         2         6         3         9
Vardas1494           Pavarde1494                      5         3         9         1        10        10         1         6
Vardas1495           Pavarde1495                      6         6         8         9         8        10         6         1
Vardas1496           Pavarde1496                      4         4         3         8         4         6         3         2
Vardas1497           Pavarde1497                      3        10         4         8         4         9         1         5
Vardas1498           Pavarde1498                      1        10         6         2         5         7         7         9
Vardas1499           Pavarde1499                      7         1        10         1         3         6         1         4
Vardas1500           Pavarde1500                      1         8         8        10         9         5         4         7
Vardas1501           Pavarde1501                      3         8         9         7         3         6         1         3
Vardas1502           Pavarde1502                      5         7         6         9         5         6         6         8
Vardas1503           Pavarde1503                      7         2         4         8         3         4         8         5
Vardas1504           Pavarde1504                     10         5         9         3         6         1         2         1
Vardas1505           Pavarde1505                     10         7         3         2         6         3         4         2
Vardas1506           Pavarde1506                      1        10         9         5         4         4         4        10
Vardas1507           Pavarde1507                      5         4         3         9         9         8         3         4
Vardas1508           Pavarde1508                      8         7         8         3         8         7         3         1
Vardas1509           Pavarde1509                      7         2         9         4        10        10         6         9
Vardas1510           Pavarde1510                      8         1        10         4         6         9         6         1
Vardas1511           Pavarde1511                      8         7         9         9         1        10         6         9
Vardas1512           Pavarde1512                      1        10         6         3         3         9        10         1
Vardas1513           Pavarde1513                      6         9         4         2         8         2         6         4
Vardas1514           Pavarde1514                      4         6         9         5         4         9         2         7
Vardas1515           Pavarde1515                      7         1        10         5        10         4         1         6
Vardas1516           Pavarde1516                      4         7         2        10         8         1         2         7
Vardas1517           Pavarde1517                     10         3         3         8         3         3         6         4
Vardas1518           Pavarde1518                      1         3         9         6         4         2         3         7
Vardas1519           Pavarde1519                     10         8        10         7         9         2         9         6
Vardas1520           Pavarde1520                      1         6         2         4         9         4         5         5
Vardas1521           Pavarde1521                      6         9         8         3         4         1         8         9
Vardas1522           Pavarde1522                      3         6         9         1        10         6         4         9
Vardas1523           Pavarde1523                      7         2         7         5         8         3        10        10
Vardas1524           Pavarde1524                      7        10        10         3         1         5         5         7
Vardas1525           Pavarde1525                      6         4        10         2         2         2         5         8
Vardas1526           Pavarde1526                      6         7         3         2         8         6         6         6
Vardas1527           Pavarde1527                      1         9         3         4         9        10         2         6
Vardas1528           Pavarde1528                      1         6         6         5         4         1         1         3
Vardas1529           Pavarde1529                      4         5        10         4         2         4         1        10
Vardas1530           Pavarde1530                      4         4         3         5         8         5         1         3
Vardas1531           Pavarde1531                      3         9         2         6         4         7         1        10
Vardas1532           Pavarde1532                      7        10         4         9         3         4         8        10
Vardas1533           Pavarde1533                      4         4         5         1         7         7         1         1
Vardas1534           Pavarde1534                      1         9         1         6         1         2         6         6
Vardas1535           Pavarde1535                      5         5         6         4         5         8         1         7
Vardas1536           Pavarde1536                      7         9         4         8        10         8         9         3
Vardas1537           Pavarde1537                      5        10         5         2         3         5         8         5
Vardas1538           Pavarde1538                      6         7         8         2         7         7         1         1
Vardas1539           Pavarde1539                      6         5         1         3        10         9         9         5
Vardas1540           Pavarde1540                      4        10         8         1         4         7         5         6
Vardas1541           Pavarde1541                      7         7         9         8         3         9         4         8
Vardas1542           Pavarde1542                     10         3         5         1         3         1         9         3
Vardas1543           Pavarde1543                      5         4         5         5         8         1         5         3
Vardas1544           Pavarde1544                      7         7         9         9         9         5        10         2
Vardas1545           Pavarde1545                      6         7         4         2         2         7        10        10
Vardas1546           Pavarde1546                      6         2         6         4         6         6         3         6
Vardas1547           Pavarde1547                      8         1         2         1         9         7         8         5
Vardas1548           Pavarde1548                      8         5         4         5        10         2         4         1
Vardas1549           Pavarde1549                      2         8         9         8         6         9         2         5
Vardas1550           Pavarde1550                     10        10         3         5         5         2         3         9
Vardas1551           Pavarde1551                      3        10         2         4         4         2         1         4
Vardas1552           Pavarde1552                      7         3         7         5         8         7         9         6
Vardas1553           Pavarde1553                      2         8         3         7         4         1         3         1
Vardas1554           Pavarde1554                      8         4         4         6         4         7         3         8
Vardas1555           Pavarde1555                      5         8         7         9         2         6         8         3
Vardas1556           Pavarde1556                      5         6         8         4         7         2         8        10
Vardas1557           Pavarde1557                      7         7         2         9         8         1         7        10
Vardas1558           Pavarde1558                      8         3         7         6         3         9         3         8
Vardas1559           Pavarde1559                      4         3         4        10         9         2         9         6
Vardas1560           Pavarde1560                      2         6         1         9         5         8         2        10
Vardas1561           Pavarde1561                      2         5         2         7         7         5         6         9
Vardas1562           Pavarde1562                      6         5         3         9         7         8         4         7
Vardas1563           Pavarde1563                      3         2        10         9         5         7        10         9
Vardas1564           Pavarde1564                      8         6         8         7         8         7         3         6
Vardas1565           Pavarde1565                      7         7        10         6        10         3         2         3
Vardas1566           Pavarde1566                      9         9         5         1         7         5         8         2
Vardas1567           Pavarde1567                      4         7         7         9         2         3         4         7
Vardas1568           Pavarde1568                      9         8         5         5         3         5         1         2
Vardas1569           Pavarde1569                      4         7         3         8         9         1         7         1
Vardas1570           Pavarde1570                     10         8         2         8         1         4         7         7
Vardas1571           Pavarde1571                      3         9         2         2         7         1         6         3
Vardas1572           Pavarde1572                     10         5         7         5         6         6         7         9
Vardas1573           Pavarde1573                      5         8         5         7         9        10         2         4
Vardas1574           Pavarde1574                      8         9         4        10         4        10         1         8
Vardas1575           Pavarde1575                      2         1        10         8        10        10        10         9
Vardas1576           Pavarde1576                      4         2        10         3         4         2         3         7
Vardas1577           Pavarde1577                     10         9         8         1         2         3         5         6
Vardas1578           Pavarde1578                      7         3        10         2         7         7         5         6
Vardas1579           Pavarde1579                      5         8         2         7        10         2         4         1
Vardas1580           Pavarde1580                     10         3         3         3         5         1         3         5
Vardas1581           Pavarde1581                      9         1         8         9         1         6         8         4
Vardas1582           Pavarde1582                      2         6         2         1         4         7         9         2
Vardas1583           Pavarde1583                      9         2         8         8         5         9         4         7
Vardas1584           Pavarde1584                      4         7         2         4         2        10         9         1
Vardas1585           Pavarde1585                      1         3         9        10         3         9         1         5
Vardas1586           Pavarde1586                     10         7         8         1         6         2         7         8
Vardas1587           Pavarde1587                      6         2        10         6         7         4         8         7
Vardas1588           Pavarde1588                      3        10         5        10         8         6        10         9
Vardas1589           Pavarde1589                      1         2        10         5         9         4         5         5
Vardas1590           Pavarde1590                      6         8         2         4         1         2         1         9
Vardas1591           Pavarde1591                      8         2         4         4         8         8         2         6
Vardas1592           Pavarde1592                      8         3         4        10         2         2         2         2
Vardas1593           Pavarde1593                      4         1         6         9         5         3         5         8
Vardas1594           Pavarde1594                      3         3         1         5         1         8         5         1
Vardas1595           Pavarde1595                      9         1         2         5         7         7         7        10
Vardas1596           Pavarde1596                      5         6         4         4         7         1         9         1
Vardas1597           Pavarde1597                      7        10         5         1         9         8         7         9
Vardas1598           Pavarde1598                      6         2         6         1         7         6         2         2
Vardas1599           Pavarde1599                      8        10         6         6        10         8         9         6
Vardas1600           Pavarde1600                     10         9         7         2         6         2         9         4
Vardas1601           Pavarde1601                      8         2         6         3         7         6         8         8
Vardas1602           Pavarde1602                      1        10         1         7        10         1         7         6
Vardas1603           Pavarde1603                      3         5         4         1         3         2         8         3
Vardas1604           Pavarde1604                     10         3         9         8        10         4         9         4
Vardas1605           Pavarde1605                      2         5         4         4        10         9         3        10
Vardas1606           Pavarde1606                     10         2         2         7        10         1         5        10
Vardas1607           Pavarde1607                      9         3        10         1         5         4         6         5
Vardas1608           Pavarde1608                      1         8         8         2         4         3         1         1
Vardas1609           Pavarde1609                      7         4         9         2         9        10         2        10
Vardas1610           Pavarde1610                      8         9        10         3         2         4         5         3
Vardas1611           Pavarde1611                      1         6         5         8         6         4         4         3
Vardas1612           Pavarde1612                      1         8         9         7         4        10         1         7
Vardas1613           Pavarde1613                     10         7         5         6         5         5         6         8
Vardas1614           Pavarde1614                      1         8         9         5         7         1        10         1
Vardas1615           Pavarde1615                      3         6         3         5         7        10         9        10
Vardas1616           Pavarde1616                      4         4         5         4         5         1         7         2
Vardas1617           Pavarde1617                      7         5         6         6        10         1         9        10
Vardas1618           Pavarde1618                      4         1         9         1         8         1         5         4
Vardas1619           Pavarde1619                      3        10         4        10         3         6         6         6
Vardas1620           Pavarde1620                      9         3         6         9         4         4         4         3
Vardas1621           Pavarde1621                      9         2         3         5         6         4        10        10
Vardas1622           Pavarde1622                      6        10         7         1         7         1         1         4
Vardas1623           Pavarde1623                      7         3         4         2         4         4         7         2
Vardas1624           Pavarde1624                      2         3         1         3         1         8         1         3
Vardas1625           Pavarde1625                      5        10        10         9         2         8         4         8
Vardas1626           Pavarde1626                      4         2         5         2         2         6         2         1
Vardas1627           Pavarde1627                      1         4        10         1         4         5         6         3
Vardas1628           Pavarde1628                      7        10         1         8         3         3        10         7
Vardas1629           Pavarde1629                      3         4         8         7         8         4         8         9
Vardas1630           Pavarde1630                     10         6         3         3         6         7         9         3
Vardas1631           Pavarde1631                      3         3        10         8        10         5         5         7
Vardas1632           Pavarde1632                      9         7         3         4         2         3         4         1
Vardas1633           Pavarde1633                      9         6         6        10         6         7         2         6
Vardas1634           Pavarde1634                      1         7         3         2         2         9        10         9
Vardas1635           Pavarde1635                      6         3         4         2         2        10         3         5
Vardas1636           Pavarde1636                      3         3         8         1         9         4         5         9
Vardas1637           Pavarde1637                      4         3         1         7         9         4         4         3
Vardas1638           Pavarde1638                      2         3        10         8         6         7         9         8
Vardas1639           Pavarde1639                     10         3         3         4         5         3        10         2
Vardas1640           Pavarde1640                      3         5         1         8         1        10         5         4
Vardas1641           Pavarde1641                      1         4         5         2         5         3         5         2
Vardas1642           Pavarde1642                      2         5         2         8         6        10         1         3
Vardas1643           Pavarde1643                     10         1        10         1         2         6         9         5
Vardas1644           Pavarde1644                      6        10         8         9         3         9         9        10
Vardas1645           Pavarde1645                      6         6         2         9         5        10         6         3
Vardas1646           Pavarde1646                      5         5         8         7        10        10         1         1
Vardas1647           Pavarde1647                      7        10         3         5         1        10        10        10
Vardas1648           Pavarde1648                      1         9        10         2         4         4         9         9
Vardas1649           Pavarde1649                      2         2        10         8         4         4        10         6
Vardas1650           Pavarde1650                      7         4         4         6        10         8         1         8
Vardas1651           Pavarde1651                      7         9         5         5         1         6         8         6
Vardas1652           Pavarde1652                      4         2         8         9         4         7         5         1
Vardas1653           Pavarde1653                      9         2         8         7         4         6         7         1
Vardas1654           Pavarde1654                      9        10         8         5         5        10         6         7
Vardas1655           Pavarde1655                      1         6         9         5         7         5         2         3
Vardas1656           Pavarde1656                      2         1         5         1        10        10         6         4
Vardas1657           Pavarde1657                      5         2         1         3         2         5         9         5
Vardas1658           Pavarde1658                      7         6        10         9         8         1         2         6
Vardas1659           Pavarde1659                      7         7         7         1         7         5         8         8
Vardas1660           Pavarde1660                      2         5         2         7         3         9         2         6
Vardas1661           Pavarde1661                      5         1         4         2         1         5         9         2
Vardas1662           Pavarde1662                      5         1         3         4        10         3         6         5
Vardas1663           Pavarde1663                      7         6         3         6         7         4         7         4
Vardas1664           Pavarde1664                      1         4        10         7         4         6         3         7
Vardas1665           Pavarde1665                      9         3        10        10         8        10         4         7
Vardas1666           Pavarde1666                      6         6         9        10         8         2         7         3
Vardas1667           Pavarde1667                      2         8         1         4         6         7         9         1
Vardas1668           Pavarde1668                      5         1         8         5         6         1         6         8
Vardas1669           Pavarde1669                      8         8         7         4         6         6         9         8
Vardas1670           Pavarde1670                      5         6         5         9         3         1         5         7
Vardas1671           Pavarde1671                     10         4         8         5         8         7         3         5
Vardas1672           Pavarde1672                      5         1         3         8         2         4         4         1
Vardas1673           Pavarde1673                      6         2         7         7        10         6         5         9
Vardas1674           Pavarde1674                      6         1         8         8         8         3         6         2
Vardas1675           Pavarde1675                      5         1         7         5         5        10         4        10
Vardas1676           Pavarde1676                      1         5         7         1         6        10         4         6
Vardas1677           Pavarde1677                      1         2         9        10         4         2         5         2
Vardas1678           Pavarde1678                      3        10         8         5         2         5         7         1
Vardas1679           Pavarde1679                     10         1         2         9         7        10         9         4
Vardas1680           Pavarde1680                      5        10         5         5         6         9         6         5
Vardas1681           Pavarde1681                      5         5         4         4         4         1         8         6
Vardas1682           Pavarde1682                      1         2         5         1         9         8         5        10
Vardas1683           Pavarde1683                      3         3         1         5         2         9         4         7
Vardas1684           Pavarde1684                      4         6         4         1         8         4         5         2
Vardas1685           Pavarde1685                      8         2         9         6         6        10         8         9
Vardas1686           Pavarde1686                      5         3         8        10         2         5         9        10
Vardas1687           Pavarde1687                      6        10         1         2         1         9         5         9
Vardas1688           Pavarde1688                      3         6         9         3         5        10         3         3
Vardas1689           Pavarde1689                      9         4         3         7         1         9        10         7
Vardas1690           Pavarde1690                     10        10         2         5         1         7         6         1
Vardas1691           Pavarde1691                      1         7        10         9         2         7         4         7
Vardas1692           Pavarde1692                      7        10         9         1         3         6         2         1
Vardas1693           Pavarde1693                      4         2         4         3         3        10         4         6
Vardas1694           Pavarde1694                      8         5         7        10         3         3         4         5
Vardas1695           Pavarde1695                      3         1         8         3         8         2         5         3
Vardas1696           Pavarde1696                     10         8         1         2         6         4        10         9
Vardas1697           Pavarde1697                      1         5         1         8         5         4         7         5
Vardas1698           Pavarde1698                      7         8         4         1         1         3         2         9
Vardas1699           Pavarde1699                      1         5         7         8         8         4         9         6
Vardas1700           Pavarde1700                      8         9         5         3         5         8         4         7
Vardas1701           Pavarde1701                      2         5         3         5         3         7         6         4
Vardas1702           Pavarde1702                      4         4         5         2         5         1        10         5
Vardas1703           Pavarde1703                      5         8         5         5         5         3        10         8
Vardas1704           Pavarde1704                      2         8         2         4         9         9         6         1
Vardas1705           Pavarde1705                      4         8         5         9         4         4         1         6
Vardas1706           Pavarde1706                      1         5         4         9         4         5         6         5
Vardas1707           Pavarde1707                      8         4         5         2         5        10         7         4
Vardas1708           Pavarde1708                      9         1         3         2         7         4         8        10
Vardas1709           Pavarde1709                      9         2         2         5         3        10        10         4
Vardas1710           Pavarde1710                      4         2        10         5         8         2         2         2
Vardas1711           Pavarde1711                      2         3         5         6         4         7        10         7
Vardas1712           Pavarde1712                      8         5         4         4         7         6         4         4
Vardas1713           Pavarde1713                      9         5         9         1         3         4         8         4
Vardas1714           Pavarde1714                      6        10         4         1         1         6         3         9
Vardas1715           Pavarde1715                      7         1         1         8         3        10         4         3
Vardas1716           Pavarde1716                      7         4         7        10         5         2         4         4
Vardas1717           Pavarde1717                      4         9         8         5         8         4        10         8
Vardas1718           Pavarde1718                      7        10        10         5         2        10        10        10
Vardas1719           Pavarde1719                     10         3         4         5         5         5         8         5
Vardas1720           Pavarde1720                      2         5         1         3         3        10         7         6
Vardas1721           Pavarde1721                      1         4         2         8         8         9         8         8
Vardas1722           Pavarde1722                      3         1         5         3         6         2         6        10
Vardas1723           Pavarde1723                     10         1         1         5         1         8         2         4
Vardas1724           Pavarde1724                      6        10         8         5         6         2         6         7
Vardas1725           Pavarde1725                      2         9         3         4         1         5         4         9
Vardas1726           Pavarde1726                      4         5         9         9         2         4         4         5
Vardas1727           Pavarde1727                      8         7         8         5         8         1         2         8
Vardas1728           Pavarde1728                      3         6         9         2         7         7         3        10
Vardas1729           Pavarde1729                      7        10         1         8         9         9        10         2
Vardas1730           Pavarde1730                     10         8        10         1         9         4         9         6
Vardas1731           Pavarde1731                      1         7         5         5         3        10         2         7
Vardas1732           Pavarde1732                      7         9         8         9         6         5         8         1
Vardas1733           Pavarde1733                      2         7         6         9         7         1         9         1
Vardas1734           Pavarde1734                      2         7         5         8         8         5         1         5
Vardas1735           Pavarde1735                      4         6         3         8         6         3         6         7
Vardas1736           Pavarde1736                      3         3         5         9         8         4         8         3
Vardas1737           Pavarde1737                      2         9         6         3         2         4         4         6
Vardas1738           Pavarde1738                      3        10        10         5         9         8         3         7
Vardas1739           Pavarde1739                     10         3         9        10         1         2        10         1
Vardas1740           Pavarde1740                      3         3         2         3         8         1         4         2
Vardas1741           Pavarde1741                     10         5         1         4         8         4         7         8
Vardas1742           Pavarde1742                      4         2         9         2         2         5         2         6
Vardas1743           Pavarde1743                      1        10        10         4         6         2         2         6
Vardas1744           Pavarde1744                      1         6         6         7         3         2         3         6
Vardas1745           Pavarde1745                     10         4         9        10         9         3         2        10
Vardas1746           Pavarde1746                      7         2         2         4         1         6        10         9
Vardas1747           Pavarde1747                      2         1         1        10         9         8         5         9
Vardas1748           Pavarde1748                      4         3         5         8         5         3         6         2
Vardas1749           Pavarde1749                      5         5         1         3         3         8         9         5
Vardas1750           Pavarde1750                      6         4         4         3         1         2         7         8
Vardas1751           Pavarde1751                      6         5         2         1         2         4         2         4
Vardas1752           Pavarde1752                      8         9         9         3         9         8         7         8
Vardas1753           Pavarde1753                     10         7         4         9         2         2         6         6
Vardas1754           Pavarde1754                      7         5         2         7         4         8         2         9
Vardas1755           Pavarde1755                      8         9         9         6         8         4         7         1
Vardas1756           Pavarde1756                      4         2         9         9         4         6         7         5
Vardas1757           Pavarde1757                      9         2         2         7         7         4         2         3
Vardas1758           Pavarde1758                      9         8         6        10         4         7         8         4
Vardas1759           Pavarde1759                      9         8         5         2         1         2         9         9
Vardas1760           Pavarde1760                     10         1         4         6         6         4         6         9
Vardas1761           Pavarde1761                     10        10         2         9         9         9         6         9
Vardas1762           Pavarde1762                      1         9         9         3        10         7         9        10
Vardas1763           Pavarde1763                      8         2         1         7         5         7         5         5
Vardas1764           Pavarde1764                      1         2         6         2         9        10         2         4
Vardas1765           Pavarde1765                      9        10         4         2         2         4         6         1
Vardas1766           Pavarde1766                      1        10         1        10         2         3         1         9
Vardas1767           Pavarde1767                     10         3         2         4         3         8         3         7
Vardas1768           Pavarde1768                      8         1         3         2        10         6         4         1
Vardas1769           Pavarde1769                      8         1         4         5         8         9         1         8
Vardas1770           Pavarde1770                      7         8         1        10        10         4         4         8
Vardas1771           Pavarde1771                      3         2         4         4         8         1        10         9
Vardas1772           Pavarde1772                      2         9         3         9         4         9         2         4
Vardas1773           Pavarde1773                     10         4         8         5         5         7         7         5
Vardas1774           Pavarde1774                      6         7         9         8         4         5         1         8
Vardas1775           Pavarde1775                      6         6         4         8        10         9         4         6
Vardas1776           Pavarde1776                      1        10         9         6         7         1         4         1
Vardas1777           Pavarde1777                      7         9         8         9         6         2        10         8
Vardas1778           Pavarde1778                      6         2         2         2         1        10         5         5
Vardas1779           Pavarde1779                      7         5         4         1         6         2         4         9
Vardas1780           Pavarde1780                      4         4         7         7         7        10         3         6
Vardas1781           Pavarde1781                      7         7         7         3         4         6        10         6
Vardas1782           Pavarde1782                      5        10         8         3         5         9         9         7
Vardas1783           Pavarde1783                      1         5         6         1         5         7         4         8
Vardas1784           Pavarde1784                      6         9         3         1         9         7         4         3
Vardas1785           Pavarde1785                      3         9         3         4         3         4         5         5
Vardas1786           Pavarde1786                      3         5         3         2         2         8        10         8
Vardas1787           Pavarde1787                     10         8        10        10         3         8         7        10
Vardas1788           Pavarde1788                      9         1        10         3         9        10         2         1
Vardas1789           Pavarde1789                      3         5         4         4         5         8         6         1
Vardas1790           Pavarde1790                     10         4         5         1         3         1         3         7
Vardas1791           Pavarde1791                      5         3         2        10         9         4         2         3
Vardas1792           Pavarde1792                      2         1        10         5         5         3         7         3
Vardas1793           Pavarde1793                      3         4         3         7         5         1         2         3
Vardas1794           Pavarde1794                      4         1        10         4         8         2         7        10
Vardas1795           Pavarde1795                      4         4         8         7         6         9         3         5
Vardas1796           Pavarde1796                     10        10         8         5         1         8        10         4
Vardas1797           Pavarde1797                      2         5         4         8         6         7         5         4
Vardas1798           Pavarde1798                      9         7         7         1         8         4         3         4
Vardas1799           Pavarde1799                      7         7         4         1         7         7         4         9
Vardas1800           Pavarde1800                      3         9         3         5         3         9         4         5
Vardas1801           Pavarde1801                      8         8         7         3         1         1         7         4
Vardas1802           Pavarde1802                      9         6         5         8         4         1         4         7
Vardas1803           Pavarde1803                      8         7         5         3         7         9        10         7
Vardas1804           Pavarde1804                      7         5         1         3         7         1        10         9
Vardas1805           Pavarde1805                      8         7         4         7        10         3         2         6
Vardas1806           Pavarde1806                     10         3         2         5         4         2         4         9
Vardas1807           Pavarde1807                      4         1         6         1         4         8         4         4
Vardas1808           Pavarde1808                      6         9         5         3         9         5         4         6
Vardas1809           Pavarde1809                      3         4         4         2         6         9         7        10
Vardas1810           Pavarde1810                      8         3         8         3         4         5         9        10
Vardas1811           Pavarde1811                      2        10         7         2         2         3         7         1
Vardas1812           Pavarde1812                      5         4         9         3         9         1         4         5
Vardas1813           Pavarde1813                      7         2         7         7         1         3         4         6
Vardas1814           Pavarde1814                      3         3         3         4         8         4         8         1
Vardas1815           Pavarde1815                      5         8        10         7         9         2         4         3
Vardas1816           Pavarde1816                      8         2         4         3         1        10         6         9
Vardas1817           Pavarde1817                      8         9         7         1        10         8         3         5
Vardas1818           Pavarde1818                      5         6         9         2         6         7         4         2
Vardas1819           Pavarde1819                      7        10         7        10         8         2         5         3
Vardas1820           Pavarde1820                      3         7         7         3         2         3         6         1
Vardas1821           Pavarde1821                      2         6         9         5         6         2         7         8
Vardas1822           Pavarde1822                     10         8         3        10         2         2         1         2
Vardas1823           Pavarde1823                      7         8         5         5         9         3         8         8
Vardas1824           Pavarde1824                      4         3         3         1         5         8         1         4
Vardas1825           Pavarde1825                      1         5         8         6         3         1         3         6
Vardas1826           Pavarde1826                      4         7         9         6         6         5         9         1
Vardas1827           Pavarde1827                      6         6         5         7         9         1         3         3
Vardas1828           Pavarde1828                      6         4         3         8         9         6         3         8
Vardas1829           Pavarde1829                      1         9         2         3         7         3         8         1
Vardas1830           Pavarde1830                      6        10         8         3         9         6         6         8
Vardas1831           Pavarde1831                      7         2         8         3         2         6         8         3
Vardas1832           Pavarde1832                      3         4         9         7         8         7         4         4
Vardas1833           Pavarde1833                      9         6        10         6         5         8         1         8
Vardas1834           Pavarde1834                      1        10         5         9         6         7         1         1
Vardas1835           Pavarde1835                      1         3         1        10         3         5         8         5
Vardas1836           Pavarde1836                      6         1         6         3        10         5         4         8
Vardas1837           Pavarde1837                      7         9         9         6         3         4         7         5
Vardas1838           Pavarde1838                     10        10         1         8         9         8         7         4
Vardas1839           Pavarde1839                      8        10         8         3         3         6         4         3
Vardas1840           Pavarde1840                      6         8         7         6         7         8         1         8
Vardas1841           Pavarde1841                      7         3         7         7         3        10         9         3
Vardas1842           Pavarde1842                      6        10         4         8         2         3         4         4
